year,solar_utility,scenario,solar_added
2023,3404.2,GN0,3404.2
2024,3404.2,GN0,0.0
2025,3527.2300000000005,GN0,123.03000000000065
2026,3708.2300000000005,GN0,181.0
2027,3888.2300000000005,GN0,180.0
2028,4068.2300000000005,GN0,180.0
2029,4249.2300000000005,GN0,181.0
2030,4480.530000000001,GN0,231.30000000000018
2031,7304.570000000001,GN0,2824.04
2032,10125.57,GN0,2820.999999999999
2033,12955.27,GN0,2829.7000000000007
2034,15776.070000000002,GN0,2820.800000000001
2023,3404.2,S1,3404.2
2024,5869.257298474952,S1,2465.0572984749524
2025,8457.344596949897,S1,2588.087298474944
2026,11103.401895424831,S1,2646.057298474934
2027,13748.459193899784,S1,2645.0572984749524
2028,16393.51649237473,S1,2645.057298474945
2029,19039.573790849674,S1,2646.057298474945
2030,21735.93108932462,S1,2696.3572984749444
2031,27025.028387799568,S1,5289.09729847495
2032,32311.085686274506,S1,5286.057298474938
2033,37605.842984749455,S1,5294.7572984749495
2034,42891.700283224396,S1,5285.857298474941
2023,3404.2,S2,3404.2
2024,4055.9320261437924,S2,651.7320261437926
2025,4830.694052287586,S2,774.7620261437933
2026,5663.426078431375,S2,832.732026143789
2027,6495.158104575165,S2,831.7320261437908
2028,7326.890130718956,S2,831.7320261437908
2029,8159.622156862749,S2,832.7320261437926
2030,9042.65418300654,S2,883.0320261437919
2031,12518.42620915033,S2,3475.77202614379
2032,15991.158235294122,S2,3472.7320261437926
2033,19472.590261437912,S2,3481.4320261437897
2034,22945.1222875817,S2,3472.5320261437882
